date, minute, open, low, high, close, volume
2025-01-02,678,582.3000,582.2000,582.6699,582.6000,45955.00
2025-01-02,679,582.6200,582.2500,582.6500,582.3800,51742.00
2025-01-02,680,582.4200,582.2400,582.4700,582.3200,35871.00
2025-01-02,681,582.3200,582.2900,582.5300,582.5110,34067.00
2025-01-02,682,582.4900,582.3270,582.8499,582.8499,59959.00
2025-01-02,683,582.8400,582.8000,583.0100,582.8100,60636.00
2025-01-02,684,582.8000,582.6600,583.1300,583.0800,41293.00
2025-01-02,685,583.0600,582.9400,583.2800,583.0700,66289.00
2025-01-02,686,583.0300,582.9100,583.1500,583.1500,50746.00
2025-01-02,687,583.1800,583.1800,583.4700,583.3100,57226.00
2025-01-02,688,583.3500,583.2200,583.5050,583.3400,66972.00
2025-01-02,689,583.3200,583.0900,583.3200,583.2800,55581.00
2025-01-02,690,583.2650,582.5600,583.2650,582.8200,70310.00
2025-01-02,691,582.8200,582.7900,583.1400,583.1000,70447.00
2025-01-02,692,583.0900,582.9600,583.2800,583.2100,34679.00
2025-01-02,693,583.1800,582.8500,583.1800,582.9500,44341.00
2025-01-02,694,582.9300,582.6100,582.9700,582.7900,64823.00
2025-01-02,695,582.8100,582.1200,582.8400,582.1200,81506.00
2025-01-02,696,582.1200,582.1000,582.4900,582.4200,44477.00
2025-01-02,697,582.4400,582.2500,582.7353,582.7100,41633.00
2025-01-02,698,582.7100,582.6200,582.9294,582.8500,47846.00
2025-01-02,699,582.8500,582.7000,582.9100,582.7000,31261.00
2025-01-02,700,582.6600,582.6500,582.9700,582.9700,26367.00
2025-01-02,701,582.9600,582.6400,582.9800,582.7700,36299.00
2025-01-02,702,582.8000,582.7800,583.0200,582.9800,30736.00
2025-01-02,703,582.9600,582.6800,583.2000,582.7100,38436.00
2025-01-02,704,582.6910,582.6700,582.8201,582.8200,20299.00
2025-01-02,705,582.8300,582.7900,582.9100,582.8600,38433.00
2025-01-02,706,582.8500,582.2500,582.8600,582.2701,46394.00
2025-01-02,707,582.2838,582.1900,582.9100,582.8000,168189.00
2025-01-02,708,582.8200,582.7700,583.6400,583.6000,84062.00
2025-01-02,709,583.5900,583.3100,583.8100,583.3400,63056.00
2025-01-02,710,583.3600,583.1900,583.4800,583.3300,43013.00
2025-01-02,711,583.3500,583.2606,583.6000,583.5813,27868.00
2025-01-02,712,583.5500,583.5450,583.9900,583.9000,109850.00
2025-01-02,713,583.8800,583.3850,583.8800,583.4600,54225.00
2025-01-02,714,583.4600,583.3500,583.6800,583.5600,50943.00
2025-01-02,715,583.5700,583.3000,583.5700,583.3600,36987.00
2025-01-02,716,583.3700,582.9600,583.3900,583.0900,50339.00
2025-01-02,717,583.0600,582.4900,583.0600,582.5300,85688.00
2025-01-02,718,582.5500,582.4500,582.7200,582.6150,74364.00
2025-01-02,719,582.6150,582.0200,582.6700,582.1305,74452.00
2025-01-02,720,582.1600,582.1400,582.6700,582.5150,47862.00
2025-01-02,721,582.5300,582.4500,582.7300,582.4900,42341.00
2025-01-02,722,582.5100,582.5100,582.8900,582.8900,47096.00
2025-01-02,723,582.8300,582.8300,583.3400,583.2133,78719.00
2025-01-02,724,583.1800,583.1400,583.8800,583.7700,112433.00
2025-01-02,725,583.7600,583.3800,583.7700,583.4800,90997.00
2025-01-02,726,583.4800,583.3800,583.7400,583.5100,43745.00
2025-01-02,727,583.5100,583.3711,583.5900,583.5100,35555.00
2025-01-02,728,583.5300,583.4100,583.8900,583.8600,65399.00
2025-01-02,729,583.7600,583.7100,583.9200,583.7800,40932.00
2025-01-02,730,583.7800,583.6900,584.0200,583.9201,66382.00
2025-01-02,731,583.9400,583.6400,584.0499,584.0200,92857.00
2025-01-02,732,584.0000,583.9800,584.5100,584.4900,109524.00
2025-01-02,733,584.5000,584.3650,584.6900,584.5500,78338.00
2025-01-02,734,584.5200,584.2500,584.5500,584.3600,86529.00
2025-01-02,735,584.3400,583.8599,584.3500,584.0450,114397.00
2025-01-02,736,584.0300,583.8900,584.1200,584.0600,67512.00
2025-01-02,737,584.0500,583.9700,584.2500,584.2400,50002.00
2025-01-02,738,584.2300,584.1300,584.4300,584.3600,113862.00
2025-01-02,739,584.3600,584.2800,584.4600,584.4500,59005.00
2025-01-02,740,584.4700,584.1900,584.5300,584.2800,60556.00
2025-01-02,741,584.2700,584.1200,584.6000,584.3700,82959.00
2025-01-02,742,584.3600,584.3500,584.8100,584.6200,63924.00
2025-01-02,743,584.5900,584.4700,584.7300,584.5800,61607.00
2025-01-02,744,584.5800,584.4000,584.6600,584.5200,62835.00
2025-01-02,745,584.5150,584.3100,584.6100,584.3500,43313.00
2025-01-02,746,584.3200,584.3100,584.5500,584.5000,35301.00
2025-01-02,747,584.5000,584.4900,584.6300,584.5700,21993.00
2025-01-02,748,584.5300,584.4540,584.7400,584.6400,37093.00
2025-01-02,749,584.6500,584.4100,584.7100,584.4700,57508.00
2025-01-02,750,584.4800,584.0800,584.6700,584.1708,98235.00
2025-01-02,751,584.1500,584.1050,585.3200,585.2000,162500.00
2025-01-02,752,585.2000,584.7700,585.3700,584.9700,77998.00
2025-01-02,753,584.9900,584.5000,585.0000,584.7192,112598.00
2025-01-02,754,584.6900,584.3500,584.6900,584.4400,114537.00
2025-01-02,755,584.4400,583.8550,584.4400,583.8900,81454.00
2025-01-02,756,583.8860,583.6000,583.9200,583.8000,85771.00
2025-01-02,757,583.8103,583.5502,583.9200,583.9100,96153.00
2025-01-02,758,583.8900,583.7800,584.0300,584.0300,61348.00
2025-01-02,759,584.0200,583.6300,584.0200,583.8550,63237.00
2025-01-02,760,583.8800,583.8100,584.1700,584.1600,80431.00
2025-01-02,761,584.1500,583.8989,584.2300,584.1900,81745.00
2025-01-02,762,584.2000,583.9900,584.3500,584.2600,54219.00
2025-01-02,763,584.2500,583.9900,584.3700,584.0800,83649.00
2025-01-02,764,584.1000,584.0200,584.3400,584.1605,72194.00
2025-01-02,765,584.1600,583.9700,584.2700,584.2200,76360.00
2025-01-02,766,584.2300,584.2200,584.7800,584.3900,102391.00
2025-01-02,767,584.3700,584.0700,584.5599,584.5300,115043.00
2025-01-02,768,584.5400,584.4100,584.6900,584.5000,96018.00
2025-01-02,769,584.4800,584.4500,584.7000,584.4601,103466.00
2025-01-02,770,584.4850,584.4850,585.0600,584.6400,179545.00
2025-01-02,771,584.6500,584.2000,584.8300,584.2000,103250.00
2025-01-02,772,584.1900,583.9900,584.5900,584.5900,119111.00
2025-01-02,773,584.5900,584.5600,584.8800,584.5700,123200.00
2025-01-02,774,584.5700,584.0900,584.7450,584.1000,163617.00
2025-01-02,775,584.1100,583.8100,584.6500,584.5100,261334.00
2025-01-02,776,584.5000,584.3500,584.6700,584.3500,198661.00
2025-01-02,777,584.3500,584.3167,584.5400,584.3900,159249.00
2025-01-02,778,584.3900,584.1100,584.4600,584.2800,326340.00
2025-01-02,779,584.2700,584.0000,584.8100,584.5700,1075461.00
2025-01-03,390,587.5300,586.9100,587.8000,587.7600,847630.00
2025-01-03,391,587.7600,587.7200,588.1600,587.9420,215297.00
2025-01-03,392,587.9500,587.9500,588.3900,588.3795,112093.00
2025-01-03,393,588.3900,588.3200,588.6200,588.4700,153017.00
2025-01-03,394,588.4500,588.0000,588.4700,588.0690,120401.00
2025-01-03,395,588.0700,587.9700,588.3100,588.1100,104417.00
2025-01-03,396,588.1000,587.5800,588.1800,587.9110,105567.00
2025-01-03,397,587.9200,587.8800,588.3400,588.2500,59465.00
2025-01-03,398,588.2700,588.2700,588.5200,588.5100,98468.00
2025-01-03,399,588.5100,588.4227,589.4900,589.4100,153539.00
2025-01-03,400,589.4050,589.2400,589.5450,589.4200,159885.00
2025-01-03,401,589.4300,589.1610,589.5300,589.2600,102644.00
2025-01-03,402,589.2000,589.0600,589.2500,589.2100,102757.00
2025-01-03,403,589.1900,589.1500,589.4150,589.3000,91586.00
2025-01-03,404,589.3100,589.2010,589.5400,589.2900,77326.00
2025-01-03,405,589.2808,588.9500,589.4600,589.0800,142759.00
2025-01-03,406,589.1200,588.6800,589.2050,588.6900,97618.00
2025-01-03,407,588.6950,587.8500,588.6950,587.9600,155482.00
2025-01-03,408,587.9900,587.5200,588.1490,587.7900,111649.00
